loc,length,bug type,approach
177,4,Overflow-Underflow,code snippet injection
168,8,Overflow-Underflow,code snippet injection
159,8,Overflow-Underflow,code snippet injection
148,10,Overflow-Underflow,code snippet injection
75,4,Overflow-Underflow,code snippet injection
66,8,Overflow-Underflow,code snippet injection
446,10,Overflow-Underflow,code snippet injection
392,4,Overflow-Underflow,code snippet injection
368,10,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
340,10,Overflow-Underflow,code snippet injection
331,4,Overflow-Underflow,code snippet injection
303,4,Overflow-Underflow,code snippet injection
286,8,Overflow-Underflow,code snippet injection
279,4,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
126,4,Overflow-Underflow,code snippet injection
116,4,Overflow-Underflow,code snippet injection
102,4,Overflow-Underflow,code snippet injection
256,8,Overflow-Underflow,code snippet injection
244,10,Overflow-Underflow,code snippet injection
238,4,Overflow-Underflow,code snippet injection
227,10,Overflow-Underflow,code snippet injection
218,8,Overflow-Underflow,code snippet injection
208,8,Overflow-Underflow,code snippet injection
199,8,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
189,4,Overflow-Underflow,code snippet injection
90,4,Overflow-Underflow,code snippet injection
81,8,Overflow-Underflow,code snippet injection
56,8,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
