loc,length,bug type,approach
497,4,Overflow-Underflow,code snippet injection
488,8,Overflow-Underflow,code snippet injection
408,8,Overflow-Underflow,code snippet injection
394,10,Overflow-Underflow,code snippet injection
211,4,Overflow-Underflow,code snippet injection
30,8,Overflow-Underflow,code snippet injection
698,10,Overflow-Underflow,code snippet injection
652,4,Overflow-Underflow,code snippet injection
631,10,Overflow-Underflow,code snippet injection
616,4,Overflow-Underflow,code snippet injection
595,10,Overflow-Underflow,code snippet injection
579,4,Overflow-Underflow,code snippet injection
555,4,Overflow-Underflow,code snippet injection
539,8,Overflow-Underflow,code snippet injection
475,4,Overflow-Underflow,code snippet injection
461,4,Overflow-Underflow,code snippet injection
449,4,Overflow-Underflow,code snippet injection
426,4,Overflow-Underflow,code snippet injection
372,4,Overflow-Underflow,code snippet injection
338,8,Overflow-Underflow,code snippet injection
306,10,Overflow-Underflow,code snippet injection
285,4,Overflow-Underflow,code snippet injection
260,10,Overflow-Underflow,code snippet injection
199,8,Overflow-Underflow,code snippet injection
189,8,Overflow-Underflow,code snippet injection
178,8,Overflow-Underflow,code snippet injection
162,4,Overflow-Underflow,code snippet injection
149,4,Overflow-Underflow,code snippet injection
130,4,Overflow-Underflow,code snippet injection
30,8,Overflow-Underflow,code snippet injection
21,8,Overflow-Underflow,code snippet injection
16,4,Overflow-Underflow,code snippet injection
688,4,Overflow-Underflow,code snippet injection
677,10,Overflow-Underflow,code snippet injection
672,4,Overflow-Underflow,code snippet injection
661,10,Overflow-Underflow,code snippet injection
503,10,Overflow-Underflow,code snippet injection
387,4,Overflow-Underflow,code snippet injection
229,4,Overflow-Underflow,code snippet injection
112,10,Overflow-Underflow,code snippet injection
