loc,length,bug type,approach
701,4,Overflow-Underflow,code snippet injection
688,8,Overflow-Underflow,code snippet injection
658,8,Overflow-Underflow,code snippet injection
644,10,Overflow-Underflow,code snippet injection
600,4,Overflow-Underflow,code snippet injection
587,8,Overflow-Underflow,code snippet injection
538,10,Overflow-Underflow,code snippet injection
509,4,Overflow-Underflow,code snippet injection
475,10,Overflow-Underflow,code snippet injection
450,4,Overflow-Underflow,code snippet injection
424,10,Overflow-Underflow,code snippet injection
413,4,Overflow-Underflow,code snippet injection
393,4,Overflow-Underflow,code snippet injection
380,8,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
258,4,Overflow-Underflow,code snippet injection
249,4,Overflow-Underflow,code snippet injection
240,4,Overflow-Underflow,code snippet injection
230,4,Overflow-Underflow,code snippet injection
217,8,Overflow-Underflow,code snippet injection
201,10,Overflow-Underflow,code snippet injection
191,4,Overflow-Underflow,code snippet injection
627,10,Overflow-Underflow,code snippet injection
618,8,Overflow-Underflow,code snippet injection
608,8,Overflow-Underflow,code snippet injection
359,8,Overflow-Underflow,code snippet injection
353,4,Overflow-Underflow,code snippet injection
348,4,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
333,8,Overflow-Underflow,code snippet injection
324,8,Overflow-Underflow,code snippet injection
319,4,Overflow-Underflow,code snippet injection
313,4,Overflow-Underflow,code snippet injection
302,10,Overflow-Underflow,code snippet injection
297,4,Overflow-Underflow,code snippet injection
161,10,Overflow-Underflow,code snippet injection
150,10,Overflow-Underflow,code snippet injection
144,4,Overflow-Underflow,code snippet injection
138,4,Overflow-Underflow,code snippet injection
127,10,Overflow-Underflow,code snippet injection
