loc,length,bug type,approach
944,4,Overflow-Underflow,code snippet injection
935,8,Overflow-Underflow,code snippet injection
926,8,Overflow-Underflow,code snippet injection
915,10,Overflow-Underflow,code snippet injection
304,4,Overflow-Underflow,code snippet injection
1131,8,Overflow-Underflow,code snippet injection
1100,10,Overflow-Underflow,code snippet injection
1062,4,Overflow-Underflow,code snippet injection
1037,10,Overflow-Underflow,code snippet injection
1028,4,Overflow-Underflow,code snippet injection
1008,10,Overflow-Underflow,code snippet injection
997,4,Overflow-Underflow,code snippet injection
985,4,Overflow-Underflow,code snippet injection
963,8,Overflow-Underflow,code snippet injection
824,4,Overflow-Underflow,code snippet injection
814,4,Overflow-Underflow,code snippet injection
804,4,Overflow-Underflow,code snippet injection
796,4,Overflow-Underflow,code snippet injection
761,4,Overflow-Underflow,code snippet injection
738,8,Overflow-Underflow,code snippet injection
409,10,Overflow-Underflow,code snippet injection
393,4,Overflow-Underflow,code snippet injection
375,10,Overflow-Underflow,code snippet injection
355,8,Overflow-Underflow,code snippet injection
332,8,Overflow-Underflow,code snippet injection
317,8,Overflow-Underflow,code snippet injection
279,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
260,4,Overflow-Underflow,code snippet injection
905,8,Overflow-Underflow,code snippet injection
896,8,Overflow-Underflow,code snippet injection
890,4,Overflow-Underflow,code snippet injection
884,4,Overflow-Underflow,code snippet injection
873,10,Overflow-Underflow,code snippet injection
868,4,Overflow-Underflow,code snippet injection
857,10,Overflow-Underflow,code snippet injection
846,10,Overflow-Underflow,code snippet injection
840,4,Overflow-Underflow,code snippet injection
787,4,Overflow-Underflow,code snippet injection
775,10,Overflow-Underflow,code snippet injection
