loc,length,bug type,approach
355,4,Overflow-Underflow,code snippet injection
346,8,Overflow-Underflow,code snippet injection
337,8,Overflow-Underflow,code snippet injection
326,10,Overflow-Underflow,code snippet injection
321,4,Overflow-Underflow,code snippet injection
312,8,Overflow-Underflow,code snippet injection
893,10,Overflow-Underflow,code snippet injection
880,4,Overflow-Underflow,code snippet injection
862,10,Overflow-Underflow,code snippet injection
832,4,Overflow-Underflow,code snippet injection
801,10,Overflow-Underflow,code snippet injection
775,4,Overflow-Underflow,code snippet injection
739,4,Overflow-Underflow,code snippet injection
687,8,Overflow-Underflow,code snippet injection
612,4,Overflow-Underflow,code snippet injection
411,4,Overflow-Underflow,code snippet injection
371,4,Overflow-Underflow,code snippet injection
304,4,Overflow-Underflow,code snippet injection
299,4,Overflow-Underflow,code snippet injection
290,8,Overflow-Underflow,code snippet injection
279,10,Overflow-Underflow,code snippet injection
274,4,Overflow-Underflow,code snippet injection
262,10,Overflow-Underflow,code snippet injection
253,8,Overflow-Underflow,code snippet injection
244,8,Overflow-Underflow,code snippet injection
235,8,Overflow-Underflow,code snippet injection
230,4,Overflow-Underflow,code snippet injection
225,4,Overflow-Underflow,code snippet injection
220,4,Overflow-Underflow,code snippet injection
211,8,Overflow-Underflow,code snippet injection
202,8,Overflow-Underflow,code snippet injection
197,4,Overflow-Underflow,code snippet injection
192,4,Overflow-Underflow,code snippet injection
181,10,Overflow-Underflow,code snippet injection
