loc,length,bug type,approach
457,4,Overflow-Underflow,code snippet injection
236,8,Overflow-Underflow,code snippet injection
227,8,Overflow-Underflow,code snippet injection
126,10,Overflow-Underflow,code snippet injection
121,4,Overflow-Underflow,code snippet injection
59,8,Overflow-Underflow,code snippet injection
557,10,Overflow-Underflow,code snippet injection
508,4,Overflow-Underflow,code snippet injection
491,10,Overflow-Underflow,code snippet injection
481,4,Overflow-Underflow,code snippet injection
466,10,Overflow-Underflow,code snippet injection
438,4,Overflow-Underflow,code snippet injection
430,4,Overflow-Underflow,code snippet injection
418,8,Overflow-Underflow,code snippet injection
410,4,Overflow-Underflow,code snippet injection
402,4,Overflow-Underflow,code snippet injection
388,4,Overflow-Underflow,code snippet injection
364,4,Overflow-Underflow,code snippet injection
345,4,Overflow-Underflow,code snippet injection
319,8,Overflow-Underflow,code snippet injection
294,10,Overflow-Underflow,code snippet injection
275,4,Overflow-Underflow,code snippet injection
255,10,Overflow-Underflow,code snippet injection
183,8,Overflow-Underflow,code snippet injection
167,8,Overflow-Underflow,code snippet injection
110,8,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
76,4,Overflow-Underflow,code snippet injection
543,4,Overflow-Underflow,code snippet injection
534,8,Overflow-Underflow,code snippet injection
525,8,Overflow-Underflow,code snippet injection
520,4,Overflow-Underflow,code snippet injection
515,4,Overflow-Underflow,code snippet injection
445,10,Overflow-Underflow,code snippet injection
221,4,Overflow-Underflow,code snippet injection
210,10,Overflow-Underflow,code snippet injection
198,10,Overflow-Underflow,code snippet injection
138,4,Overflow-Underflow,code snippet injection
53,4,Overflow-Underflow,code snippet injection
