loc,length,bug type,approach
284,4,Overflow-Underflow,code snippet injection
163,8,Overflow-Underflow,code snippet injection
20,8,Overflow-Underflow,code snippet injection
581,10,Overflow-Underflow,code snippet injection
559,4,Overflow-Underflow,code snippet injection
492,8,Overflow-Underflow,code snippet injection
440,10,Overflow-Underflow,code snippet injection
410,4,Overflow-Underflow,code snippet injection
378,10,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
332,10,Overflow-Underflow,code snippet injection
276,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
259,8,Overflow-Underflow,code snippet injection
242,4,Overflow-Underflow,code snippet injection
229,4,Overflow-Underflow,code snippet injection
210,4,Overflow-Underflow,code snippet injection
163,4,Overflow-Underflow,code snippet injection
158,4,Overflow-Underflow,code snippet injection
149,8,Overflow-Underflow,code snippet injection
78,10,Overflow-Underflow,code snippet injection
64,4,Overflow-Underflow,code snippet injection
38,10,Overflow-Underflow,code snippet injection
538,8,Overflow-Underflow,code snippet injection
528,8,Overflow-Underflow,code snippet injection
519,8,Overflow-Underflow,code snippet injection
513,4,Overflow-Underflow,code snippet injection
508,4,Overflow-Underflow,code snippet injection
476,4,Overflow-Underflow,code snippet injection
466,8,Overflow-Underflow,code snippet injection
456,8,Overflow-Underflow,code snippet injection
301,4,Overflow-Underflow,code snippet injection
198,4,Overflow-Underflow,code snippet injection
186,10,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
