loc,length,bug type,approach
534,4,Overflow-Underflow,code snippet injection
525,8,Overflow-Underflow,code snippet injection
497,8,Overflow-Underflow,code snippet injection
461,10,Overflow-Underflow,code snippet injection
374,4,Overflow-Underflow,code snippet injection
365,8,Overflow-Underflow,code snippet injection
314,10,Overflow-Underflow,code snippet injection
309,4,Overflow-Underflow,code snippet injection
257,10,Overflow-Underflow,code snippet injection
249,4,Overflow-Underflow,code snippet injection
692,10,Overflow-Underflow,code snippet injection
684,4,Overflow-Underflow,code snippet injection
676,4,Overflow-Underflow,code snippet injection
654,8,Overflow-Underflow,code snippet injection
636,4,Overflow-Underflow,code snippet injection
619,4,Overflow-Underflow,code snippet injection
606,4,Overflow-Underflow,code snippet injection
593,4,Overflow-Underflow,code snippet injection
586,4,Overflow-Underflow,code snippet injection
575,8,Overflow-Underflow,code snippet injection
547,10,Overflow-Underflow,code snippet injection
513,4,Overflow-Underflow,code snippet injection
485,10,Overflow-Underflow,code snippet injection
451,8,Overflow-Underflow,code snippet injection
429,8,Overflow-Underflow,code snippet injection
408,8,Overflow-Underflow,code snippet injection
400,4,Overflow-Underflow,code snippet injection
391,4,Overflow-Underflow,code snippet injection
359,4,Overflow-Underflow,code snippet injection
345,8,Overflow-Underflow,code snippet injection
299,8,Overflow-Underflow,code snippet injection
288,4,Overflow-Underflow,code snippet injection
279,4,Overflow-Underflow,code snippet injection
235,10,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
200,10,Overflow-Underflow,code snippet injection
181,10,Overflow-Underflow,code snippet injection
168,4,Overflow-Underflow,code snippet injection
155,4,Overflow-Underflow,code snippet injection
136,10,Overflow-Underflow,code snippet injection
