loc,length,bug type,approach
322,8,Re-entrancy,code snippet injection
314,7,Re-entrancy,code snippet injection
305,8,Re-entrancy,code snippet injection
296,8,Re-entrancy,code snippet injection
287,8,Re-entrancy,code snippet injection
274,8,Re-entrancy,code snippet injection
259,10,Re-entrancy,code snippet injection
109,9,Re-entrancy,code snippet injection
807,8,Re-entrancy,code snippet injection
783,8,Re-entrancy,code snippet injection
734,8,Re-entrancy,code snippet injection
710,8,Re-entrancy,code snippet injection
693,8,Re-entrancy,code snippet injection
673,6,Re-entrancy,code snippet injection
636,8,Re-entrancy,code snippet injection
604,8,Re-entrancy,code snippet injection
575,8,Re-entrancy,code snippet injection
559,8,Re-entrancy,code snippet injection
526,9,Re-entrancy,code snippet injection
503,8,Re-entrancy,code snippet injection
471,8,Re-entrancy,code snippet injection
448,6,Re-entrancy,code snippet injection
429,5,Re-entrancy,code snippet injection
398,9,Re-entrancy,code snippet injection
376,8,Re-entrancy,code snippet injection
360,7,Re-entrancy,code snippet injection
152,6,Re-entrancy,code snippet injection
139,7,Re-entrancy,code snippet injection
123,7,Re-entrancy,code snippet injection
249,8,Re-entrancy,code snippet injection
239,8,Re-entrancy,code snippet injection
230,8,Re-entrancy,code snippet injection
223,5,Re-entrancy,code snippet injection
214,8,Re-entrancy,code snippet injection
205,8,Re-entrancy,code snippet injection
195,9,Re-entrancy,code snippet injection
184,10,Re-entrancy,code snippet injection
178,5,Re-entrancy,code snippet injection
99,8,Re-entrancy,code snippet injection
88,10,Re-entrancy,code snippet injection
