loc,length,bug type,approach
248,8,Re-entrancy,code snippet injection
240,7,Re-entrancy,code snippet injection
231,8,Re-entrancy,code snippet injection
222,8,Re-entrancy,code snippet injection
213,8,Re-entrancy,code snippet injection
64,8,Re-entrancy,code snippet injection
477,10,Re-entrancy,code snippet injection
464,9,Re-entrancy,code snippet injection
452,8,Re-entrancy,code snippet injection
441,8,Re-entrancy,code snippet injection
430,8,Re-entrancy,code snippet injection
417,8,Re-entrancy,code snippet injection
405,8,Re-entrancy,code snippet injection
394,6,Re-entrancy,code snippet injection
380,8,Re-entrancy,code snippet injection
359,8,Re-entrancy,code snippet injection
328,8,Re-entrancy,code snippet injection
307,8,Re-entrancy,code snippet injection
285,9,Re-entrancy,code snippet injection
108,8,Re-entrancy,code snippet injection
80,8,Re-entrancy,code snippet injection
275,6,Re-entrancy,code snippet injection
269,5,Re-entrancy,code snippet injection
259,9,Re-entrancy,code snippet injection
203,8,Re-entrancy,code snippet injection
195,7,Re-entrancy,code snippet injection
188,6,Re-entrancy,code snippet injection
180,7,Re-entrancy,code snippet injection
172,7,Re-entrancy,code snippet injection
163,8,Re-entrancy,code snippet injection
153,8,Re-entrancy,code snippet injection
144,8,Re-entrancy,code snippet injection
138,5,Re-entrancy,code snippet injection
129,8,Re-entrancy,code snippet injection
120,8,Re-entrancy,code snippet injection
54,9,Re-entrancy,code snippet injection
