loc,length,bug type,approach
160,8,Re-entrancy,code snippet injection
152,7,Re-entrancy,code snippet injection
489,8,Re-entrancy,code snippet injection
477,8,Re-entrancy,code snippet injection
465,8,Re-entrancy,code snippet injection
447,8,Re-entrancy,code snippet injection
433,10,Re-entrancy,code snippet injection
420,9,Re-entrancy,code snippet injection
408,8,Re-entrancy,code snippet injection
388,8,Re-entrancy,code snippet injection
368,8,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
332,8,Re-entrancy,code snippet injection
318,6,Re-entrancy,code snippet injection
303,8,Re-entrancy,code snippet injection
288,8,Re-entrancy,code snippet injection
272,8,Re-entrancy,code snippet injection
260,8,Re-entrancy,code snippet injection
242,9,Re-entrancy,code snippet injection
225,8,Re-entrancy,code snippet injection
45,8,Re-entrancy,code snippet injection
176,6,Re-entrancy,code snippet injection
170,5,Re-entrancy,code snippet injection
141,9,Re-entrancy,code snippet injection
132,8,Re-entrancy,code snippet injection
124,7,Re-entrancy,code snippet injection
117,6,Re-entrancy,code snippet injection
109,7,Re-entrancy,code snippet injection
100,7,Re-entrancy,code snippet injection
91,8,Re-entrancy,code snippet injection
82,8,Re-entrancy,code snippet injection
73,8,Re-entrancy,code snippet injection
67,5,Re-entrancy,code snippet injection
58,8,Re-entrancy,code snippet injection
32,8,Re-entrancy,code snippet injection
