loc,length,bug type,approach
270,8,Re-entrancy,code snippet injection
262,7,Re-entrancy,code snippet injection
253,8,Re-entrancy,code snippet injection
244,8,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
74,8,Re-entrancy,code snippet injection
494,10,Re-entrancy,code snippet injection
475,9,Re-entrancy,code snippet injection
462,8,Re-entrancy,code snippet injection
444,8,Re-entrancy,code snippet injection
432,8,Re-entrancy,code snippet injection
417,8,Re-entrancy,code snippet injection
401,8,Re-entrancy,code snippet injection
386,6,Re-entrancy,code snippet injection
374,8,Re-entrancy,code snippet injection
362,8,Re-entrancy,code snippet injection
350,8,Re-entrancy,code snippet injection
337,8,Re-entrancy,code snippet injection
323,9,Re-entrancy,code snippet injection
304,8,Re-entrancy,code snippet injection
292,8,Re-entrancy,code snippet injection
283,6,Re-entrancy,code snippet injection
162,5,Re-entrancy,code snippet injection
143,9,Re-entrancy,code snippet injection
127,8,Re-entrancy,code snippet injection
105,7,Re-entrancy,code snippet injection
92,6,Re-entrancy,code snippet injection
214,7,Re-entrancy,code snippet injection
204,7,Re-entrancy,code snippet injection
193,8,Re-entrancy,code snippet injection
182,8,Re-entrancy,code snippet injection
172,8,Re-entrancy,code snippet injection
67,5,Re-entrancy,code snippet injection
