loc,length,bug type,approach
755,8,Re-entrancy,code snippet injection
747,7,Re-entrancy,code snippet injection
738,8,Re-entrancy,code snippet injection
729,8,Re-entrancy,code snippet injection
720,8,Re-entrancy,code snippet injection
711,8,Re-entrancy,code snippet injection
700,10,Re-entrancy,code snippet injection
690,9,Re-entrancy,code snippet injection
681,8,Re-entrancy,code snippet injection
633,8,Re-entrancy,code snippet injection
618,8,Re-entrancy,code snippet injection
602,8,Re-entrancy,code snippet injection
587,8,Re-entrancy,code snippet injection
574,6,Re-entrancy,code snippet injection
558,8,Re-entrancy,code snippet injection
542,8,Re-entrancy,code snippet injection
525,8,Re-entrancy,code snippet injection
506,8,Re-entrancy,code snippet injection
487,9,Re-entrancy,code snippet injection
455,8,Re-entrancy,code snippet injection
435,8,Re-entrancy,code snippet injection
414,6,Re-entrancy,code snippet injection
387,5,Re-entrancy,code snippet injection
367,9,Re-entrancy,code snippet injection
348,8,Re-entrancy,code snippet injection
310,7,Re-entrancy,code snippet injection
292,6,Re-entrancy,code snippet injection
263,7,Re-entrancy,code snippet injection
255,7,Re-entrancy,code snippet injection
246,8,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
220,5,Re-entrancy,code snippet injection
211,8,Re-entrancy,code snippet injection
202,8,Re-entrancy,code snippet injection
192,9,Re-entrancy,code snippet injection
181,10,Re-entrancy,code snippet injection
175,5,Re-entrancy,code snippet injection
