loc,length,bug type,approach
1046,18,TOD,code snippet injection
1009,18,TOD,code snippet injection
973,18,TOD,code snippet injection
955,13,TOD,code snippet injection
934,13,TOD,code snippet injection
874,18,TOD,code snippet injection
856,13,TOD,code snippet injection
835,13,TOD,code snippet injection
817,13,TOD,code snippet injection
773,13,TOD,code snippet injection
677,13,TOD,code snippet injection
661,13,TOD,code snippet injection
639,18,TOD,code snippet injection
486,18,TOD,code snippet injection
447,18,TOD,code snippet injection
431,13,TOD,code snippet injection
410,18,TOD,code snippet injection
394,13,TOD,code snippet injection
369,13,TOD,code snippet injection
344,18,TOD,code snippet injection
324,13,TOD,code snippet injection
299,18,TOD,code snippet injection
278,13,TOD,code snippet injection
256,18,TOD,code snippet injection
234,18,TOD,code snippet injection
211,18,TOD,code snippet injection
189,18,TOD,code snippet injection
173,13,TOD,code snippet injection
151,18,TOD,code snippet injection
130,18,TOD,code snippet injection
99,18,TOD,code snippet injection
79,13,TOD,code snippet injection
63,13,TOD,code snippet injection
43,13,TOD,code snippet injection
20,18,TOD,code snippet injection
756,13,TOD,code snippet injection
742,13,TOD,code snippet injection
723,18,TOD,code snippet injection
701,18,TOD,code snippet injection
468,13,TOD,code snippet injection
