loc,length,bug type,approach
759,18,TOD,code snippet injection
731,18,TOD,code snippet injection
704,18,TOD,code snippet injection
672,13,TOD,code snippet injection
652,13,TOD,code snippet injection
627,18,TOD,code snippet injection
607,13,TOD,code snippet injection
527,13,TOD,code snippet injection
501,13,TOD,code snippet injection
474,13,TOD,code snippet injection
447,13,TOD,code snippet injection
419,13,TOD,code snippet injection
387,18,TOD,code snippet injection
354,18,TOD,code snippet injection
321,18,TOD,code snippet injection
294,13,TOD,code snippet injection
262,18,TOD,code snippet injection
239,13,TOD,code snippet injection
216,13,TOD,code snippet injection
189,18,TOD,code snippet injection
587,13,TOD,code snippet injection
568,18,TOD,code snippet injection
554,13,TOD,code snippet injection
163,18,TOD,code snippet injection
143,18,TOD,code snippet injection
123,18,TOD,code snippet injection
