loc,length,bug type,approach
180,18,TOD,code snippet injection
161,18,TOD,code snippet injection
396,18,TOD,code snippet injection
336,13,TOD,code snippet injection
316,13,TOD,code snippet injection
293,18,TOD,code snippet injection
274,13,TOD,code snippet injection
257,13,TOD,code snippet injection
240,13,TOD,code snippet injection
223,13,TOD,code snippet injection
206,13,TOD,code snippet injection
146,13,TOD,code snippet injection
115,18,TOD,code snippet injection
95,18,TOD,code snippet injection
76,18,TOD,code snippet injection
62,13,TOD,code snippet injection
43,18,TOD,code snippet injection
29,13,TOD,code snippet injection
15,13,TOD,code snippet injection
