loc,length,bug type,approach
240,18,TOD,code snippet injection
221,18,TOD,code snippet injection
202,18,TOD,code snippet injection
188,13,TOD,code snippet injection
174,13,TOD,code snippet injection
155,18,TOD,code snippet injection
141,13,TOD,code snippet injection
796,13,TOD,code snippet injection
771,13,TOD,code snippet injection
748,13,TOD,code snippet injection
711,13,TOD,code snippet injection
694,13,TOD,code snippet injection
672,18,TOD,code snippet injection
650,18,TOD,code snippet injection
628,18,TOD,code snippet injection
611,13,TOD,code snippet injection
589,18,TOD,code snippet injection
572,13,TOD,code snippet injection
554,13,TOD,code snippet injection
530,18,TOD,code snippet injection
510,13,TOD,code snippet injection
480,18,TOD,code snippet injection
460,13,TOD,code snippet injection
436,18,TOD,code snippet injection
413,18,TOD,code snippet injection
387,18,TOD,code snippet injection
335,18,TOD,code snippet injection
312,13,TOD,code snippet injection
290,18,TOD,code snippet injection
268,18,TOD,code snippet injection
354,18,TOD,code snippet injection
125,13,TOD,code snippet injection
95,13,TOD,code snippet injection
81,13,TOD,code snippet injection
62,18,TOD,code snippet injection
47,13,TOD,code snippet injection
33,13,TOD,code snippet injection
14,18,TOD,code snippet injection
