loc,length,bug type,approach
260,18,TOD,code snippet injection
241,18,TOD,code snippet injection
222,18,TOD,code snippet injection
689,13,TOD,code snippet injection
668,13,TOD,code snippet injection
642,18,TOD,code snippet injection
621,13,TOD,code snippet injection
598,13,TOD,code snippet injection
574,13,TOD,code snippet injection
549,13,TOD,code snippet injection
511,13,TOD,code snippet injection
465,13,TOD,code snippet injection
436,18,TOD,code snippet injection
409,18,TOD,code snippet injection
374,18,TOD,code snippet injection
345,13,TOD,code snippet injection
316,18,TOD,code snippet injection
292,13,TOD,code snippet injection
207,13,TOD,code snippet injection
188,18,TOD,code snippet injection
174,13,TOD,code snippet injection
155,18,TOD,code snippet injection
139,13,TOD,code snippet injection
120,18,TOD,code snippet injection
101,18,TOD,code snippet injection
82,18,TOD,code snippet injection
63,18,TOD,code snippet injection
