loc,length,bug type,approach
371,18,TOD,code snippet injection
352,18,TOD,code snippet injection
616,18,TOD,code snippet injection
598,13,TOD,code snippet injection
566,13,TOD,code snippet injection
543,18,TOD,code snippet injection
479,13,TOD,code snippet injection
462,13,TOD,code snippet injection
445,13,TOD,code snippet injection
428,13,TOD,code snippet injection
412,13,TOD,code snippet injection
396,13,TOD,code snippet injection
180,18,TOD,code snippet injection
161,18,TOD,code snippet injection
139,18,TOD,code snippet injection
125,13,TOD,code snippet injection
103,18,TOD,code snippet injection
89,13,TOD,code snippet injection
75,13,TOD,code snippet injection
56,18,TOD,code snippet injection
42,13,TOD,code snippet injection
20,18,TOD,code snippet injection
514,13,TOD,code snippet injection
494,18,TOD,code snippet injection
332,18,TOD,code snippet injection
313,18,TOD,code snippet injection
294,18,TOD,code snippet injection
279,13,TOD,code snippet injection
260,18,TOD,code snippet injection
241,18,TOD,code snippet injection
222,18,TOD,code snippet injection
208,13,TOD,code snippet injection
