loc,length,bug type,approach
687,18,TOD,code snippet injection
668,18,TOD,code snippet injection
376,18,TOD,code snippet injection
204,13,TOD,code snippet injection
1153,13,TOD,code snippet injection
1079,18,TOD,code snippet injection
1061,13,TOD,code snippet injection
1042,13,TOD,code snippet injection
1024,13,TOD,code snippet injection
1006,13,TOD,code snippet injection
989,13,TOD,code snippet injection
969,13,TOD,code snippet injection
935,18,TOD,code snippet injection
911,18,TOD,code snippet injection
889,18,TOD,code snippet injection
872,13,TOD,code snippet injection
850,18,TOD,code snippet injection
649,13,TOD,code snippet injection
610,13,TOD,code snippet injection
584,18,TOD,code snippet injection
559,13,TOD,code snippet injection
531,18,TOD,code snippet injection
503,13,TOD,code snippet injection
476,18,TOD,code snippet injection
447,18,TOD,code snippet injection
422,18,TOD,code snippet injection
337,18,TOD,code snippet injection
295,13,TOD,code snippet injection
263,18,TOD,code snippet injection
236,18,TOD,code snippet injection
133,18,TOD,code snippet injection
111,13,TOD,code snippet injection
90,13,TOD,code snippet injection
50,13,TOD,code snippet injection
27,18,TOD,code snippet injection
826,13,TOD,code snippet injection
810,13,TOD,code snippet injection
775,18,TOD,code snippet injection
756,18,TOD,code snippet injection
742,13,TOD,code snippet injection
