loc,length,bug type,approach
540,18,TOD,code snippet injection
521,18,TOD,code snippet injection
502,18,TOD,code snippet injection
354,13,TOD,code snippet injection
274,13,TOD,code snippet injection
140,18,TOD,code snippet injection
126,13,TOD,code snippet injection
916,13,TOD,code snippet injection
892,13,TOD,code snippet injection
873,13,TOD,code snippet injection
854,13,TOD,code snippet injection
836,13,TOD,code snippet injection
813,18,TOD,code snippet injection
778,18,TOD,code snippet injection
740,18,TOD,code snippet injection
714,13,TOD,code snippet injection
679,18,TOD,code snippet injection
648,13,TOD,code snippet injection
616,13,TOD,code snippet injection
592,18,TOD,code snippet injection
403,13,TOD,code snippet injection
372,18,TOD,code snippet injection
323,13,TOD,code snippet injection
292,18,TOD,code snippet injection
236,18,TOD,code snippet injection
211,18,TOD,code snippet injection
188,18,TOD,code snippet injection
169,13,TOD,code snippet injection
560,18,TOD,code snippet injection
482,18,TOD,code snippet injection
463,18,TOD,code snippet injection
431,13,TOD,code snippet injection
339,13,TOD,code snippet injection
259,13,TOD,code snippet injection
106,18,TOD,code snippet injection
92,13,TOD,code snippet injection
78,13,TOD,code snippet injection
59,18,TOD,code snippet injection
40,18,TOD,code snippet injection
26,13,TOD,code snippet injection
