loc,length,bug type,approach
1456,18,TOD,code snippet injection
1428,18,TOD,code snippet injection
1401,18,TOD,code snippet injection
1380,13,TOD,code snippet injection
1359,13,TOD,code snippet injection
1326,18,TOD,code snippet injection
1312,13,TOD,code snippet injection
1298,13,TOD,code snippet injection
1284,13,TOD,code snippet injection
1270,13,TOD,code snippet injection
1256,13,TOD,code snippet injection
1242,13,TOD,code snippet injection
1223,18,TOD,code snippet injection
1204,18,TOD,code snippet injection
787,18,TOD,code snippet injection
766,13,TOD,code snippet injection
740,18,TOD,code snippet injection
420,13,TOD,code snippet injection
406,13,TOD,code snippet injection
318,18,TOD,code snippet injection
53,13,TOD,code snippet injection
2396,18,TOD,code snippet injection
2366,13,TOD,code snippet injection
2336,18,TOD,code snippet injection
2304,18,TOD,code snippet injection
2271,18,TOD,code snippet injection
2244,18,TOD,code snippet injection
2222,13,TOD,code snippet injection
2195,18,TOD,code snippet injection
2168,18,TOD,code snippet injection
2141,18,TOD,code snippet injection
2119,13,TOD,code snippet injection
2098,13,TOD,code snippet injection
2077,13,TOD,code snippet injection
2042,18,TOD,code snippet injection
1962,13,TOD,code snippet injection
1927,13,TOD,code snippet injection
1847,18,TOD,code snippet injection
1764,18,TOD,code snippet injection
1733,13,TOD,code snippet injection
