loc,length,bug type,approach
259,18,TOD,code snippet injection
240,18,TOD,code snippet injection
221,18,TOD,code snippet injection
207,13,TOD,code snippet injection
193,13,TOD,code snippet injection
174,18,TOD,code snippet injection
160,13,TOD,code snippet injection
795,13,TOD,code snippet injection
770,13,TOD,code snippet injection
747,13,TOD,code snippet injection
710,13,TOD,code snippet injection
693,13,TOD,code snippet injection
671,18,TOD,code snippet injection
649,18,TOD,code snippet injection
627,18,TOD,code snippet injection
610,13,TOD,code snippet injection
588,18,TOD,code snippet injection
571,13,TOD,code snippet injection
553,13,TOD,code snippet injection
529,18,TOD,code snippet injection
509,13,TOD,code snippet injection
479,18,TOD,code snippet injection
459,13,TOD,code snippet injection
435,18,TOD,code snippet injection
412,18,TOD,code snippet injection
386,18,TOD,code snippet injection
354,18,TOD,code snippet injection
331,13,TOD,code snippet injection
309,18,TOD,code snippet injection
287,18,TOD,code snippet injection
139,18,TOD,code snippet injection
109,13,TOD,code snippet injection
95,13,TOD,code snippet injection
81,13,TOD,code snippet injection
61,18,TOD,code snippet injection
47,13,TOD,code snippet injection
33,13,TOD,code snippet injection
14,18,TOD,code snippet injection
