loc,length,bug type,approach
176,18,TOD,code snippet injection
157,18,TOD,code snippet injection
461,18,TOD,code snippet injection
396,13,TOD,code snippet injection
378,13,TOD,code snippet injection
355,18,TOD,code snippet injection
338,13,TOD,code snippet injection
318,13,TOD,code snippet injection
300,13,TOD,code snippet injection
281,13,TOD,code snippet injection
264,13,TOD,code snippet injection
247,13,TOD,code snippet injection
225,18,TOD,code snippet injection
203,18,TOD,code snippet injection
137,18,TOD,code snippet injection
123,13,TOD,code snippet injection
104,18,TOD,code snippet injection
90,13,TOD,code snippet injection
76,13,TOD,code snippet injection
57,18,TOD,code snippet injection
42,13,TOD,code snippet injection
9,18,TOD,code snippet injection
