loc,length,bug type,approach
144,18,TOD,code snippet injection
125,18,TOD,code snippet injection
106,18,TOD,code snippet injection
375,13,TOD,code snippet injection
347,13,TOD,code snippet injection
322,18,TOD,code snippet injection
304,13,TOD,code snippet injection
287,13,TOD,code snippet injection
268,13,TOD,code snippet injection
249,13,TOD,code snippet injection
232,13,TOD,code snippet injection
215,13,TOD,code snippet injection
193,18,TOD,code snippet injection
171,18,TOD,code snippet injection
86,18,TOD,code snippet injection
59,13,TOD,code snippet injection
40,18,TOD,code snippet injection
26,13,TOD,code snippet injection
9,13,TOD,code snippet injection
