loc,length,bug type,approach
309,18,TOD,code snippet injection
290,18,TOD,code snippet injection
31,18,TOD,code snippet injection
577,13,TOD,code snippet injection
561,13,TOD,code snippet injection
540,18,TOD,code snippet injection
522,13,TOD,code snippet injection
504,13,TOD,code snippet injection
481,13,TOD,code snippet injection
463,13,TOD,code snippet injection
437,13,TOD,code snippet injection
419,13,TOD,code snippet injection
354,18,TOD,code snippet injection
333,18,TOD,code snippet injection
127,18,TOD,code snippet injection
113,13,TOD,code snippet injection
389,18,TOD,code snippet injection
374,13,TOD,code snippet injection
275,13,TOD,code snippet injection
256,18,TOD,code snippet injection
242,13,TOD,code snippet injection
222,18,TOD,code snippet injection
208,13,TOD,code snippet injection
189,18,TOD,code snippet injection
170,18,TOD,code snippet injection
151,18,TOD,code snippet injection
93,18,TOD,code snippet injection
