loc,length,bug type,approach
589,18,TOD,code snippet injection
569,18,TOD,code snippet injection
550,18,TOD,code snippet injection
388,13,TOD,code snippet injection
1195,13,TOD,code snippet injection
1173,18,TOD,code snippet injection
1155,13,TOD,code snippet injection
1137,13,TOD,code snippet injection
1119,13,TOD,code snippet injection
1101,13,TOD,code snippet injection
1074,13,TOD,code snippet injection
1014,13,TOD,code snippet injection
981,18,TOD,code snippet injection
952,18,TOD,code snippet injection
921,18,TOD,code snippet injection
894,13,TOD,code snippet injection
871,18,TOD,code snippet injection
853,13,TOD,code snippet injection
821,13,TOD,code snippet injection
794,18,TOD,code snippet injection
772,13,TOD,code snippet injection
746,18,TOD,code snippet injection
722,13,TOD,code snippet injection
692,18,TOD,code snippet injection
656,18,TOD,code snippet injection
414,18,TOD,code snippet injection
369,18,TOD,code snippet injection
346,13,TOD,code snippet injection
312,18,TOD,code snippet injection
286,18,TOD,code snippet injection
261,18,TOD,code snippet injection
638,13,TOD,code snippet injection
624,13,TOD,code snippet injection
610,13,TOD,code snippet injection
529,18,TOD,code snippet injection
515,13,TOD,code snippet injection
501,13,TOD,code snippet injection
482,18,TOD,code snippet injection
462,18,TOD,code snippet injection
448,13,TOD,code snippet injection
