loc,length,bug type,approach
273,18,TOD,code snippet injection
254,18,TOD,code snippet injection
235,18,TOD,code snippet injection
221,13,TOD,code snippet injection
207,13,TOD,code snippet injection
890,18,TOD,code snippet injection
854,13,TOD,code snippet injection
837,13,TOD,code snippet injection
819,13,TOD,code snippet injection
802,13,TOD,code snippet injection
785,13,TOD,code snippet injection
766,13,TOD,code snippet injection
744,18,TOD,code snippet injection
722,18,TOD,code snippet injection
699,18,TOD,code snippet injection
681,13,TOD,code snippet injection
658,18,TOD,code snippet injection
639,13,TOD,code snippet injection
619,13,TOD,code snippet injection
589,18,TOD,code snippet injection
571,13,TOD,code snippet injection
549,18,TOD,code snippet injection
528,13,TOD,code snippet injection
505,18,TOD,code snippet injection
482,18,TOD,code snippet injection
459,18,TOD,code snippet injection
436,18,TOD,code snippet injection
416,13,TOD,code snippet injection
392,18,TOD,code snippet injection
369,18,TOD,code snippet injection
343,18,TOD,code snippet injection
325,13,TOD,code snippet injection
302,13,TOD,code snippet injection
191,13,TOD,code snippet injection
156,18,TOD,code snippet injection
141,13,TOD,code snippet injection
127,13,TOD,code snippet injection
107,18,TOD,code snippet injection
88,18,TOD,code snippet injection
74,13,TOD,code snippet injection
