loc,length,bug type,approach
176,18,TOD,code snippet injection
157,18,TOD,code snippet injection
466,18,TOD,code snippet injection
397,13,TOD,code snippet injection
377,13,TOD,code snippet injection
354,18,TOD,code snippet injection
335,13,TOD,code snippet injection
318,13,TOD,code snippet injection
301,13,TOD,code snippet injection
284,13,TOD,code snippet injection
266,13,TOD,code snippet injection
248,13,TOD,code snippet injection
226,18,TOD,code snippet injection
204,18,TOD,code snippet injection
137,18,TOD,code snippet injection
109,13,TOD,code snippet injection
89,18,TOD,code snippet injection
75,13,TOD,code snippet injection
61,13,TOD,code snippet injection
42,18,TOD,code snippet injection
28,13,TOD,code snippet injection
9,18,TOD,code snippet injection
