loc,length,bug type,approach
933,18,TOD,code snippet injection
914,18,TOD,code snippet injection
384,18,TOD,code snippet injection
369,13,TOD,code snippet injection
355,13,TOD,code snippet injection
336,18,TOD,code snippet injection
321,13,TOD,code snippet injection
307,13,TOD,code snippet injection
137,13,TOD,code snippet injection
123,13,TOD,code snippet injection
109,13,TOD,code snippet injection
95,13,TOD,code snippet injection
76,18,TOD,code snippet injection
1127,18,TOD,code snippet injection
1092,18,TOD,code snippet injection
1060,13,TOD,code snippet injection
1037,18,TOD,code snippet injection
1019,13,TOD,code snippet injection
1002,13,TOD,code snippet injection
980,18,TOD,code snippet injection
958,13,TOD,code snippet injection
850,18,TOD,code snippet injection
831,13,TOD,code snippet injection
806,18,TOD,code snippet injection
778,18,TOD,code snippet injection
749,18,TOD,code snippet injection
717,18,TOD,code snippet injection
694,13,TOD,code snippet injection
662,18,TOD,code snippet injection
630,18,TOD,code snippet injection
605,18,TOD,code snippet injection
580,13,TOD,code snippet injection
556,13,TOD,code snippet injection
535,13,TOD,code snippet injection
502,18,TOD,code snippet injection
484,13,TOD,code snippet injection
449,13,TOD,code snippet injection
408,18,TOD,code snippet injection
268,18,TOD,code snippet injection
249,13,TOD,code snippet injection
