loc,length,bug type,approach
722,18,TOD,code snippet injection
687,18,TOD,code snippet injection
653,18,TOD,code snippet injection
599,13,TOD,code snippet injection
532,13,TOD,code snippet injection
509,18,TOD,code snippet injection
481,13,TOD,code snippet injection
409,13,TOD,code snippet injection
367,13,TOD,code snippet injection
348,13,TOD,code snippet injection
331,13,TOD,code snippet injection
309,13,TOD,code snippet injection
115,18,TOD,code snippet injection
94,18,TOD,code snippet injection
75,18,TOD,code snippet injection
61,13,TOD,code snippet injection
42,18,TOD,code snippet injection
28,13,TOD,code snippet injection
14,13,TOD,code snippet injection
554,18,TOD,code snippet injection
289,13,TOD,code snippet injection
270,18,TOD,code snippet injection
254,13,TOD,code snippet injection
229,18,TOD,code snippet injection
210,18,TOD,code snippet injection
191,18,TOD,code snippet injection
172,18,TOD,code snippet injection
