loc,length,bug type,approach
106,3,tx.origin,code snippet injection
1009,4,tx.origin,code snippet injection
993,4,tx.origin,code snippet injection
977,4,tx.origin,code snippet injection
955,4,tx.origin,code snippet injection
936,4,tx.origin,code snippet injection
921,4,tx.origin,code snippet injection
902,4,tx.origin,code snippet injection
889,4,tx.origin,code snippet injection
875,4,tx.origin,code snippet injection
843,4,tx.origin,code snippet injection
790,4,tx.origin,code snippet injection
776,3,tx.origin,code snippet injection
754,4,tx.origin,code snippet injection
414,3,tx.origin,code snippet injection
393,4,tx.origin,code snippet injection
377,3,tx.origin,code snippet injection
362,4,tx.origin,code snippet injection
344,4,tx.origin,code snippet injection
266,4,tx.origin,code snippet injection
243,5,tx.origin,code snippet injection
225,3,tx.origin,code snippet injection
204,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
166,4,tx.origin,code snippet injection
149,4,tx.origin,code snippet injection
125,3,tx.origin,code snippet injection
808,4,tx.origin,code snippet injection
745,3,tx.origin,code snippet injection
736,5,tx.origin,code snippet injection
731,4,tx.origin,code snippet injection
314,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
299,4,tx.origin,code snippet injection
295,3,tx.origin,code snippet injection
290,4,tx.origin,code snippet injection
283,4,tx.origin,code snippet injection
278,3,tx.origin,code snippet injection
97,3,tx.origin,code snippet injection
87,4,tx.origin,code snippet injection
