loc,length,bug type,approach
369,3,tx.origin,code snippet injection
360,4,tx.origin,code snippet injection
351,4,tx.origin,code snippet injection
341,4,tx.origin,code snippet injection
331,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
214,4,tx.origin,code snippet injection
206,4,tx.origin,code snippet injection
199,4,tx.origin,code snippet injection
192,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
155,4,tx.origin,code snippet injection
145,3,tx.origin,code snippet injection
134,4,tx.origin,code snippet injection
124,3,tx.origin,code snippet injection
112,4,tx.origin,code snippet injection
105,3,tx.origin,code snippet injection
97,4,tx.origin,code snippet injection
88,4,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
72,5,tx.origin,code snippet injection
65,3,tx.origin,code snippet injection
58,4,tx.origin,code snippet injection
29,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
306,3,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
168,3,tx.origin,code snippet injection
162,5,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
44,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
