loc,length,bug type,approach
124,3,tx.origin,code snippet injection
114,4,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
57,4,tx.origin,code snippet injection
34,4,tx.origin,code snippet injection
25,4,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
70,4,tx.origin,code snippet injection
63,4,tx.origin,code snippet injection
43,4,tx.origin,code snippet injection
9,3,tx.origin,code snippet injection
