loc,length,bug type,approach
307,3,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
281,4,tx.origin,code snippet injection
268,4,tx.origin,code snippet injection
258,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
235,4,tx.origin,code snippet injection
225,4,tx.origin,code snippet injection
218,4,tx.origin,code snippet injection
209,4,tx.origin,code snippet injection
201,4,tx.origin,code snippet injection
192,4,tx.origin,code snippet injection
179,3,tx.origin,code snippet injection
167,4,tx.origin,code snippet injection
156,3,tx.origin,code snippet injection
132,4,tx.origin,code snippet injection
128,3,tx.origin,code snippet injection
123,4,tx.origin,code snippet injection
118,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
106,5,tx.origin,code snippet injection
102,3,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
91,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
76,3,tx.origin,code snippet injection
70,4,tx.origin,code snippet injection
66,3,tx.origin,code snippet injection
