loc,length,bug type,approach
96,3,tx.origin,code snippet injection
91,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
81,4,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
345,4,tx.origin,code snippet injection
331,4,tx.origin,code snippet injection
303,4,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
288,3,tx.origin,code snippet injection
280,4,tx.origin,code snippet injection
273,3,tx.origin,code snippet injection
265,4,tx.origin,code snippet injection
258,3,tx.origin,code snippet injection
250,4,tx.origin,code snippet injection
241,4,tx.origin,code snippet injection
231,4,tx.origin,code snippet injection
219,5,tx.origin,code snippet injection
204,3,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
183,4,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
162,4,tx.origin,code snippet injection
139,3,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
118,3,tx.origin,code snippet injection
109,5,tx.origin,code snippet injection
142,4,tx.origin,code snippet injection
59,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
29,3,tx.origin,code snippet injection
23,4,tx.origin,code snippet injection
18,4,tx.origin,code snippet injection
14,3,tx.origin,code snippet injection
