loc,length,bug type,approach
641,3,tx.origin,code snippet injection
618,4,tx.origin,code snippet injection
596,4,tx.origin,code snippet injection
587,4,tx.origin,code snippet injection
575,4,tx.origin,code snippet injection
529,4,tx.origin,code snippet injection
520,4,tx.origin,code snippet injection
508,4,tx.origin,code snippet injection
499,4,tx.origin,code snippet injection
462,4,tx.origin,code snippet injection
448,4,tx.origin,code snippet injection
439,4,tx.origin,code snippet injection
431,3,tx.origin,code snippet injection
422,4,tx.origin,code snippet injection
414,3,tx.origin,code snippet injection
405,4,tx.origin,code snippet injection
397,3,tx.origin,code snippet injection
368,4,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
353,4,tx.origin,code snippet injection
211,5,tx.origin,code snippet injection
200,3,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
179,4,tx.origin,code snippet injection
163,4,tx.origin,code snippet injection
153,3,tx.origin,code snippet injection
142,4,tx.origin,code snippet injection
132,3,tx.origin,code snippet injection
119,5,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
103,4,tx.origin,code snippet injection
94,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
80,3,tx.origin,code snippet injection
72,4,tx.origin,code snippet injection
65,4,tx.origin,code snippet injection
49,3,tx.origin,code snippet injection
39,3,tx.origin,code snippet injection
32,4,tx.origin,code snippet injection
