loc,length,bug type,approach
89,3,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
119,4,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
100,4,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
63,4,tx.origin,code snippet injection
52,4,tx.origin,code snippet injection
26,4,tx.origin,code snippet injection
12,4,tx.origin,code snippet injection
78,4,tx.origin,code snippet injection
34,4,tx.origin,code snippet injection
4,3,tx.origin,code snippet injection
