loc,length,bug type,approach
128,3,tx.origin,code snippet injection
19,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
175,4,tx.origin,code snippet injection
161,4,tx.origin,code snippet injection
150,4,tx.origin,code snippet injection
139,4,tx.origin,code snippet injection
102,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
44,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
123,3,tx.origin,code snippet injection
13,4,tx.origin,code snippet injection
