loc,length,bug type,approach
306,3,tx.origin,code snippet injection
181,4,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
386,4,tx.origin,code snippet injection
378,4,tx.origin,code snippet injection
363,4,tx.origin,code snippet injection
327,4,tx.origin,code snippet injection
292,4,tx.origin,code snippet injection
277,4,tx.origin,code snippet injection
261,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
228,3,tx.origin,code snippet injection
181,4,tx.origin,code snippet injection
177,3,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
161,3,tx.origin,code snippet injection
148,4,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
104,4,tx.origin,code snippet injection
85,5,tx.origin,code snippet injection
63,3,tx.origin,code snippet injection
348,4,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
338,4,tx.origin,code snippet injection
201,4,tx.origin,code snippet injection
128,3,tx.origin,code snippet injection
97,4,tx.origin,code snippet injection
45,3,tx.origin,code snippet injection
