loc,length,bug type,approach
253,3,tx.origin,code snippet injection
422,4,tx.origin,code snippet injection
402,4,tx.origin,code snippet injection
383,4,tx.origin,code snippet injection
360,4,tx.origin,code snippet injection
340,4,tx.origin,code snippet injection
323,4,tx.origin,code snippet injection
43,4,tx.origin,code snippet injection
29,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
286,4,tx.origin,code snippet injection
278,3,tx.origin,code snippet injection
269,4,tx.origin,code snippet injection
261,3,tx.origin,code snippet injection
15,4,tx.origin,code snippet injection
