loc,length,bug type,approach
910,3,tx.origin,code snippet injection
905,4,tx.origin,code snippet injection
340,4,tx.origin,code snippet injection
335,4,tx.origin,code snippet injection
330,4,tx.origin,code snippet injection
325,4,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
100,4,tx.origin,code snippet injection
95,4,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
1093,3,tx.origin,code snippet injection
1068,4,tx.origin,code snippet injection
1025,3,tx.origin,code snippet injection
997,4,tx.origin,code snippet injection
985,3,tx.origin,code snippet injection
971,4,tx.origin,code snippet injection
957,4,tx.origin,code snippet injection
920,4,tx.origin,code snippet injection
736,5,tx.origin,code snippet injection
724,3,tx.origin,code snippet injection
711,4,tx.origin,code snippet injection
698,4,tx.origin,code snippet injection
682,4,tx.origin,code snippet injection
668,4,tx.origin,code snippet injection
651,3,tx.origin,code snippet injection
638,4,tx.origin,code snippet injection
618,3,tx.origin,code snippet injection
485,5,tx.origin,code snippet injection
472,4,tx.origin,code snippet injection
454,4,tx.origin,code snippet injection
441,4,tx.origin,code snippet injection
428,4,tx.origin,code snippet injection
416,3,tx.origin,code snippet injection
402,4,tx.origin,code snippet injection
388,4,tx.origin,code snippet injection
374,3,tx.origin,code snippet injection
361,3,tx.origin,code snippet injection
293,4,tx.origin,code snippet injection
