loc,length,bug type,approach
302,3,tx.origin,code snippet injection
297,4,tx.origin,code snippet injection
292,4,tx.origin,code snippet injection
287,4,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
277,4,tx.origin,code snippet injection
818,4,tx.origin,code snippet injection
805,4,tx.origin,code snippet injection
793,4,tx.origin,code snippet injection
763,4,tx.origin,code snippet injection
738,4,tx.origin,code snippet injection
712,4,tx.origin,code snippet injection
675,3,tx.origin,code snippet injection
629,4,tx.origin,code snippet injection
557,3,tx.origin,code snippet injection
356,4,tx.origin,code snippet injection
317,3,tx.origin,code snippet injection
269,4,tx.origin,code snippet injection
264,4,tx.origin,code snippet injection
259,4,tx.origin,code snippet injection
253,5,tx.origin,code snippet injection
249,3,tx.origin,code snippet injection
243,4,tx.origin,code snippet injection
238,4,tx.origin,code snippet injection
233,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
224,3,tx.origin,code snippet injection
219,4,tx.origin,code snippet injection
215,3,tx.origin,code snippet injection
209,5,tx.origin,code snippet injection
204,4,tx.origin,code snippet injection
199,4,tx.origin,code snippet injection
194,4,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
185,3,tx.origin,code snippet injection
