loc,length,bug type,approach
261,3,tx.origin,code snippet injection
156,4,tx.origin,code snippet injection
151,4,tx.origin,code snippet injection
60,4,tx.origin,code snippet injection
55,4,tx.origin,code snippet injection
305,4,tx.origin,code snippet injection
270,4,tx.origin,code snippet injection
195,4,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
165,4,tx.origin,code snippet injection
135,4,tx.origin,code snippet injection
122,4,tx.origin,code snippet injection
109,3,tx.origin,code snippet injection
97,4,tx.origin,code snippet injection
80,3,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
256,3,tx.origin,code snippet injection
250,4,tx.origin,code snippet injection
244,4,tx.origin,code snippet injection
239,4,tx.origin,code snippet injection
144,5,tx.origin,code snippet injection
50,3,tx.origin,code snippet injection
45,4,tx.origin,code snippet injection
