loc,length,bug type,approach
665,3,tx.origin,code snippet injection
567,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
702,4,tx.origin,code snippet injection
673,4,tx.origin,code snippet injection
624,4,tx.origin,code snippet injection
619,4,tx.origin,code snippet injection
604,4,tx.origin,code snippet injection
581,4,tx.origin,code snippet injection
544,4,tx.origin,code snippet injection
529,4,tx.origin,code snippet injection
504,4,tx.origin,code snippet injection
482,3,tx.origin,code snippet injection
461,4,tx.origin,code snippet injection
435,3,tx.origin,code snippet injection
412,4,tx.origin,code snippet injection
392,3,tx.origin,code snippet injection
370,4,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
325,5,tx.origin,code snippet injection
315,3,tx.origin,code snippet injection
63,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
652,4,tx.origin,code snippet injection
644,3,tx.origin,code snippet injection
638,4,tx.origin,code snippet injection
560,3,tx.origin,code snippet injection
302,5,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
290,4,tx.origin,code snippet injection
12,4,tx.origin,code snippet injection
