loc,length,bug type,approach
275,3,tx.origin,code snippet injection
268,4,tx.origin,code snippet injection
261,4,tx.origin,code snippet injection
482,4,tx.origin,code snippet injection
473,4,tx.origin,code snippet injection
463,4,tx.origin,code snippet injection
454,4,tx.origin,code snippet injection
445,4,tx.origin,code snippet injection
431,4,tx.origin,code snippet injection
404,4,tx.origin,code snippet injection
388,4,tx.origin,code snippet injection
375,4,tx.origin,code snippet injection
350,3,tx.origin,code snippet injection
336,4,tx.origin,code snippet injection
309,3,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
254,3,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
240,4,tx.origin,code snippet injection
230,4,tx.origin,code snippet injection
222,5,tx.origin,code snippet injection
216,3,tx.origin,code snippet injection
209,4,tx.origin,code snippet injection
202,4,tx.origin,code snippet injection
195,4,tx.origin,code snippet injection
