loc,length,bug type,approach
212,3,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
202,4,tx.origin,code snippet injection
197,4,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
72,4,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
17,4,tx.origin,code snippet injection
446,4,tx.origin,code snippet injection
423,4,tx.origin,code snippet injection
411,4,tx.origin,code snippet injection
389,4,tx.origin,code snippet injection
371,3,tx.origin,code snippet injection
344,4,tx.origin,code snippet injection
322,3,tx.origin,code snippet injection
300,4,tx.origin,code snippet injection
282,3,tx.origin,code snippet injection
271,4,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
242,4,tx.origin,code snippet injection
230,5,tx.origin,code snippet injection
144,3,tx.origin,code snippet injection
129,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
32,4,tx.origin,code snippet injection
28,3,tx.origin,code snippet injection
17,4,tx.origin,code snippet injection
13,3,tx.origin,code snippet injection
7,5,tx.origin,code snippet injection
190,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
180,4,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
164,3,tx.origin,code snippet injection
159,4,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
66,3,tx.origin,code snippet injection
58,3,tx.origin,code snippet injection
49,4,tx.origin,code snippet injection
