loc,length,bug type,approach
380,3,tx.origin,code snippet injection
375,4,tx.origin,code snippet injection
581,4,tx.origin,code snippet injection
572,4,tx.origin,code snippet injection
563,4,tx.origin,code snippet injection
555,4,tx.origin,code snippet injection
546,4,tx.origin,code snippet injection
536,4,tx.origin,code snippet injection
499,4,tx.origin,code snippet injection
490,4,tx.origin,code snippet injection
479,4,tx.origin,code snippet injection
458,4,tx.origin,code snippet injection
438,3,tx.origin,code snippet injection
429,4,tx.origin,code snippet injection
421,3,tx.origin,code snippet injection
413,4,tx.origin,code snippet injection
406,3,tx.origin,code snippet injection
393,4,tx.origin,code snippet injection
327,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
291,5,tx.origin,code snippet injection
274,3,tx.origin,code snippet injection
255,4,tx.origin,code snippet injection
237,4,tx.origin,code snippet injection
218,4,tx.origin,code snippet injection
199,4,tx.origin,code snippet injection
182,3,tx.origin,code snippet injection
164,4,tx.origin,code snippet injection
151,3,tx.origin,code snippet injection
136,5,tx.origin,code snippet injection
123,4,tx.origin,code snippet injection
524,4,tx.origin,code snippet injection
519,4,tx.origin,code snippet injection
514,4,tx.origin,code snippet injection
510,3,tx.origin,code snippet injection
505,4,tx.origin,code snippet injection
467,4,tx.origin,code snippet injection
383,3,tx.origin,code snippet injection
112,3,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
