loc,length,bug type,approach
90,3,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
235,4,tx.origin,code snippet injection
227,4,tx.origin,code snippet injection
219,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
197,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
170,4,tx.origin,code snippet injection
121,4,tx.origin,code snippet injection
111,3,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
62,3,tx.origin,code snippet injection
57,4,tx.origin,code snippet injection
53,3,tx.origin,code snippet injection
48,4,tx.origin,code snippet injection
43,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
155,5,tx.origin,code snippet injection
151,3,tx.origin,code snippet injection
145,4,tx.origin,code snippet injection
140,4,tx.origin,code snippet injection
135,4,tx.origin,code snippet injection
130,4,tx.origin,code snippet injection
85,3,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
