loc,length,bug type,approach
176,3,tx.origin,code snippet injection
486,4,tx.origin,code snippet injection
471,4,tx.origin,code snippet injection
454,4,tx.origin,code snippet injection
439,4,tx.origin,code snippet injection
424,4,tx.origin,code snippet injection
409,4,tx.origin,code snippet injection
394,4,tx.origin,code snippet injection
382,4,tx.origin,code snippet injection
364,4,tx.origin,code snippet injection
340,4,tx.origin,code snippet injection
332,4,tx.origin,code snippet injection
325,3,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
310,3,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
209,3,tx.origin,code snippet injection
188,4,tx.origin,code snippet injection
260,4,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
246,5,tx.origin,code snippet injection
241,3,tx.origin,code snippet injection
234,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
221,4,tx.origin,code snippet injection
170,4,tx.origin,code snippet injection
