loc,length,bug type,approach
808,3,tx.origin,code snippet injection
803,4,tx.origin,code snippet injection
798,4,tx.origin,code snippet injection
793,4,tx.origin,code snippet injection
788,4,tx.origin,code snippet injection
1299,4,tx.origin,code snippet injection
1283,4,tx.origin,code snippet injection
1267,4,tx.origin,code snippet injection
1243,4,tx.origin,code snippet injection
1227,4,tx.origin,code snippet injection
1181,4,tx.origin,code snippet injection
1146,4,tx.origin,code snippet injection
1094,3,tx.origin,code snippet injection
1076,4,tx.origin,code snippet injection
1058,3,tx.origin,code snippet injection
1040,4,tx.origin,code snippet injection
1025,3,tx.origin,code snippet injection
1006,4,tx.origin,code snippet injection
988,4,tx.origin,code snippet injection
970,4,tx.origin,code snippet injection
953,5,tx.origin,code snippet injection
940,3,tx.origin,code snippet injection
926,4,tx.origin,code snippet injection
912,4,tx.origin,code snippet injection
898,4,tx.origin,code snippet injection
884,4,tx.origin,code snippet injection
871,3,tx.origin,code snippet injection
857,4,tx.origin,code snippet injection
834,3,tx.origin,code snippet injection
739,5,tx.origin,code snippet injection
724,4,tx.origin,code snippet injection
702,4,tx.origin,code snippet injection
373,4,tx.origin,code snippet injection
352,4,tx.origin,code snippet injection
336,3,tx.origin,code snippet injection
321,4,tx.origin,code snippet injection
303,4,tx.origin,code snippet injection
219,3,tx.origin,code snippet injection
156,3,tx.origin,code snippet injection
131,4,tx.origin,code snippet injection
