loc,length,bug type,approach
904,3,tx.origin,code snippet injection
896,4,tx.origin,code snippet injection
239,4,tx.origin,code snippet injection
1077,4,tx.origin,code snippet injection
1028,4,tx.origin,code snippet injection
1000,4,tx.origin,code snippet injection
980,4,tx.origin,code snippet injection
943,4,tx.origin,code snippet injection
323,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
298,4,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
264,3,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
216,3,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
199,3,tx.origin,code snippet injection
919,4,tx.origin,code snippet injection
912,4,tx.origin,code snippet injection
233,4,tx.origin,code snippet injection
