loc,length,bug type,approach
767,3,tx.origin,code snippet injection
747,4,tx.origin,code snippet injection
725,4,tx.origin,code snippet injection
704,4,tx.origin,code snippet injection
686,4,tx.origin,code snippet injection
620,4,tx.origin,code snippet injection
605,4,tx.origin,code snippet injection
589,4,tx.origin,code snippet injection
570,4,tx.origin,code snippet injection
551,4,tx.origin,code snippet injection
532,4,tx.origin,code snippet injection
513,4,tx.origin,code snippet injection
499,3,tx.origin,code snippet injection
480,4,tx.origin,code snippet injection
466,3,tx.origin,code snippet injection
451,4,tx.origin,code snippet injection
437,3,tx.origin,code snippet injection
384,4,tx.origin,code snippet injection
363,4,tx.origin,code snippet injection
350,4,tx.origin,code snippet injection
336,5,tx.origin,code snippet injection
308,3,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
54,3,tx.origin,code snippet injection
49,4,tx.origin,code snippet injection
45,3,tx.origin,code snippet injection
39,5,tx.origin,code snippet injection
34,4,tx.origin,code snippet injection
275,4,tx.origin,code snippet injection
270,4,tx.origin,code snippet injection
264,4,tx.origin,code snippet injection
260,3,tx.origin,code snippet injection
254,4,tx.origin,code snippet injection
190,4,tx.origin,code snippet injection
123,3,tx.origin,code snippet injection
119,3,tx.origin,code snippet injection
23,4,tx.origin,code snippet injection
