loc,length,bug type,approach
88,3,tx.origin,code snippet injection
83,4,tx.origin,code snippet injection
78,4,tx.origin,code snippet injection
159,4,tx.origin,code snippet injection
150,4,tx.origin,code snippet injection
135,4,tx.origin,code snippet injection
120,4,tx.origin,code snippet injection
97,4,tx.origin,code snippet injection
64,4,tx.origin,code snippet injection
59,4,tx.origin,code snippet injection
52,4,tx.origin,code snippet injection
47,4,tx.origin,code snippet injection
43,3,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
32,3,tx.origin,code snippet injection
