loc,length,bug type,approach
332,3,tx.origin,code snippet injection
460,4,tx.origin,code snippet injection
447,4,tx.origin,code snippet injection
427,4,tx.origin,code snippet injection
419,4,tx.origin,code snippet injection
399,4,tx.origin,code snippet injection
365,4,tx.origin,code snippet injection
357,4,tx.origin,code snippet injection
348,4,tx.origin,code snippet injection
340,4,tx.origin,code snippet injection
171,4,tx.origin,code snippet injection
163,4,tx.origin,code snippet injection
153,3,tx.origin,code snippet injection
142,4,tx.origin,code snippet injection
132,3,tx.origin,code snippet injection
120,4,tx.origin,code snippet injection
113,3,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
88,4,tx.origin,code snippet injection
80,5,tx.origin,code snippet injection
73,3,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
29,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
326,3,tx.origin,code snippet injection
321,4,tx.origin,code snippet injection
316,3,tx.origin,code snippet injection
310,5,tx.origin,code snippet injection
305,4,tx.origin,code snippet injection
300,4,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
58,4,tx.origin,code snippet injection
53,3,tx.origin,code snippet injection
47,4,tx.origin,code snippet injection
