loc,length,bug type,approach
346,3,tx.origin,code snippet injection
337,4,tx.origin,code snippet injection
328,4,tx.origin,code snippet injection
319,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
203,4,tx.origin,code snippet injection
196,4,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
155,4,tx.origin,code snippet injection
144,4,tx.origin,code snippet injection
133,4,tx.origin,code snippet injection
123,3,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
104,3,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
88,3,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
73,4,tx.origin,code snippet injection
65,4,tx.origin,code snippet injection
57,5,tx.origin,code snippet injection
29,3,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
299,4,tx.origin,code snippet injection
294,4,tx.origin,code snippet injection
170,4,tx.origin,code snippet injection
166,3,tx.origin,code snippet injection
161,4,tx.origin,code snippet injection
50,3,tx.origin,code snippet injection
43,5,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
