loc,length,bug type,approach
242,2,Unchecked-Send,code snippet injection
112,2,Unchecked-Send,code snippet injection
109,2,Unchecked-Send,code snippet injection
364,2,Unchecked-Send,code snippet injection
343,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
301,2,Unchecked-Send,code snippet injection
287,2,Unchecked-Send,code snippet injection
278,2,Unchecked-Send,code snippet injection
269,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
215,2,Unchecked-Send,code snippet injection
199,2,Unchecked-Send,code snippet injection
193,2,Unchecked-Send,code snippet injection
185,2,Unchecked-Send,code snippet injection
179,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
105,2,Unchecked-Send,code snippet injection
98,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
235,2,Unchecked-Send,code snippet injection
227,2,Unchecked-Send,code snippet injection
220,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
136,2,Unchecked-Send,code snippet injection
133,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
