loc,length,bug type,approach
498,2,Unchecked-Send,code snippet injection
431,2,Unchecked-Send,code snippet injection
428,2,Unchecked-Send,code snippet injection
20,2,Unchecked-Send,code snippet injection
17,2,Unchecked-Send,code snippet injection
14,2,Unchecked-Send,code snippet injection
620,2,Unchecked-Send,code snippet injection
614,2,Unchecked-Send,code snippet injection
608,2,Unchecked-Send,code snippet injection
602,2,Unchecked-Send,code snippet injection
596,2,Unchecked-Send,code snippet injection
589,2,Unchecked-Send,code snippet injection
581,2,Unchecked-Send,code snippet injection
573,2,Unchecked-Send,code snippet injection
565,2,Unchecked-Send,code snippet injection
559,2,Unchecked-Send,code snippet injection
544,2,Unchecked-Send,code snippet injection
536,2,Unchecked-Send,code snippet injection
530,2,Unchecked-Send,code snippet injection
523,2,Unchecked-Send,code snippet injection
512,2,Unchecked-Send,code snippet injection
506,2,Unchecked-Send,code snippet injection
489,2,Unchecked-Send,code snippet injection
477,2,Unchecked-Send,code snippet injection
470,2,Unchecked-Send,code snippet injection
463,2,Unchecked-Send,code snippet injection
457,2,Unchecked-Send,code snippet injection
451,2,Unchecked-Send,code snippet injection
440,2,Unchecked-Send,code snippet injection
392,2,Unchecked-Send,code snippet injection
383,2,Unchecked-Send,code snippet injection
374,2,Unchecked-Send,code snippet injection
