loc,length,bug type,approach
94,2,Unchecked-Send,code snippet injection
71,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
238,2,Unchecked-Send,code snippet injection
233,2,Unchecked-Send,code snippet injection
224,2,Unchecked-Send,code snippet injection
219,2,Unchecked-Send,code snippet injection
211,2,Unchecked-Send,code snippet injection
203,2,Unchecked-Send,code snippet injection
198,2,Unchecked-Send,code snippet injection
189,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
174,2,Unchecked-Send,code snippet injection
169,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
120,2,Unchecked-Send,code snippet injection
112,2,Unchecked-Send,code snippet injection
101,2,Unchecked-Send,code snippet injection
82,2,Unchecked-Send,code snippet injection
65,2,Unchecked-Send,code snippet injection
62,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
50,2,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
148,2,Unchecked-Send,code snippet injection
144,2,Unchecked-Send,code snippet injection
141,2,Unchecked-Send,code snippet injection
138,2,Unchecked-Send,code snippet injection
135,2,Unchecked-Send,code snippet injection
132,2,Unchecked-Send,code snippet injection
