loc,length,bug type,approach
109,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
158,2,Unchecked-Send,code snippet injection
149,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
72,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
34,2,Unchecked-Send,code snippet injection
25,2,Unchecked-Send,code snippet injection
105,2,Unchecked-Send,code snippet injection
9,2,Unchecked-Send,code snippet injection
