loc,length,bug type,approach
193,2,Unchecked-Send,code snippet injection
190,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
379,2,Unchecked-Send,code snippet injection
370,2,Unchecked-Send,code snippet injection
361,2,Unchecked-Send,code snippet injection
352,2,Unchecked-Send,code snippet injection
343,2,Unchecked-Send,code snippet injection
334,2,Unchecked-Send,code snippet injection
325,2,Unchecked-Send,code snippet injection
311,2,Unchecked-Send,code snippet injection
296,2,Unchecked-Send,code snippet injection
283,2,Unchecked-Send,code snippet injection
270,2,Unchecked-Send,code snippet injection
257,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
222,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
186,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
176,2,Unchecked-Send,code snippet injection
171,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
