loc,length,bug type,approach
317,2,Unchecked-Send,code snippet injection
311,2,Unchecked-Send,code snippet injection
305,2,Unchecked-Send,code snippet injection
299,2,Unchecked-Send,code snippet injection
292,2,Unchecked-Send,code snippet injection
283,2,Unchecked-Send,code snippet injection
275,2,Unchecked-Send,code snippet injection
268,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
249,2,Unchecked-Send,code snippet injection
237,2,Unchecked-Send,code snippet injection
223,2,Unchecked-Send,code snippet injection
207,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
104,2,Unchecked-Send,code snippet injection
91,2,Unchecked-Send,code snippet injection
80,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
50,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
44,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
37,2,Unchecked-Send,code snippet injection
34,2,Unchecked-Send,code snippet injection
31,2,Unchecked-Send,code snippet injection
27,2,Unchecked-Send,code snippet injection
