loc,length,bug type,approach
171,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
162,2,Unchecked-Send,code snippet injection
159,2,Unchecked-Send,code snippet injection
156,2,Unchecked-Send,code snippet injection
153,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
147,2,Unchecked-Send,code snippet injection
576,2,Unchecked-Send,code snippet injection
559,2,Unchecked-Send,code snippet injection
540,2,Unchecked-Send,code snippet injection
525,2,Unchecked-Send,code snippet injection
510,2,Unchecked-Send,code snippet injection
495,2,Unchecked-Send,code snippet injection
465,2,Unchecked-Send,code snippet injection
438,2,Unchecked-Send,code snippet injection
428,2,Unchecked-Send,code snippet injection
422,2,Unchecked-Send,code snippet injection
416,2,Unchecked-Send,code snippet injection
410,2,Unchecked-Send,code snippet injection
404,2,Unchecked-Send,code snippet injection
398,2,Unchecked-Send,code snippet injection
392,2,Unchecked-Send,code snippet injection
386,2,Unchecked-Send,code snippet injection
380,2,Unchecked-Send,code snippet injection
374,2,Unchecked-Send,code snippet injection
368,2,Unchecked-Send,code snippet injection
362,2,Unchecked-Send,code snippet injection
356,2,Unchecked-Send,code snippet injection
350,2,Unchecked-Send,code snippet injection
344,2,Unchecked-Send,code snippet injection
