loc,length,bug type,approach
64,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
46,2,Unchecked-Send,code snippet injection
273,2,Unchecked-Send,code snippet injection
268,2,Unchecked-Send,code snippet injection
262,2,Unchecked-Send,code snippet injection
252,2,Unchecked-Send,code snippet injection
242,2,Unchecked-Send,code snippet injection
237,2,Unchecked-Send,code snippet injection
231,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
153,2,Unchecked-Send,code snippet injection
148,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
132,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
82,2,Unchecked-Send,code snippet injection
71,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
43,2,Unchecked-Send,code snippet injection
40,2,Unchecked-Send,code snippet injection
37,2,Unchecked-Send,code snippet injection
34,2,Unchecked-Send,code snippet injection
31,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
187,2,Unchecked-Send,code snippet injection
184,2,Unchecked-Send,code snippet injection
